Index,Variant,"Region, subregion, country or area *",Notes,Location code,ISO3Code,ISO2 Alpha-code,SDMX code**,Type,Parent code,Year,"Total Population, as of 1 January (thousands)","Total Population, as of 1 July (thousands)","Male Population, as of 1 July (thousands)","Female Population, as of 1 July (thousands)","Population Density, as of 1 July (persons per square km)","Population Sex Ratio, as of 1 July (males per 100 females)","Median Age, as of 1 July (years)","Natural Change, Births minus Deaths (thousands)","Rate of Natural Change (per 1,000 population)",Population Change (thousands),Population Growth Rate (percentage),Population Annual Doubling Time (years),Births (thousands),Births by women aged 15 to 19 (thousands),"Crude Birth Rate (births per 1,000 population)",Total Fertility Rate (live births per woman),Net Reproduction Rate (surviving daughters per woman),Mean Age Childbearing (years),Sex Ratio at Birth (males per 100 female births),Total Deaths (thousands),Male Deaths (thousands),Female Deaths (thousands),"Crude Death Rate (deaths per 1,000 population)","Life Expectancy at Birth, both sexes (years)",Male Life Expectancy at Birth (years),Female Life Expectancy at Birth (years),"Life Expectancy at Age 15, both sexes (years)",Male Life Expectancy at Age 15 (years),Female Life Expectancy at Age 15 (years),"Life Expectancy at Age 65, both sexes (years)",Male Life Expectancy at Age 65 (years),Female Life Expectancy at Age 65 (years),"Life Expectancy at Age 80, both sexes (years)",Male Life Expectancy at Age 80 (years),Female Life Expectancy at Age 80 (years),"Infant Deaths, under age 1 (thousands)","Infant Mortality Rate (infant deaths per 1,000 live births)",Live Births Surviving to Age 1 (thousands),"Under-Five Deaths, under age 5 (thousands)","Under-Five Mortality (deaths under age 5 per 1,000 live births)","Mortality before Age 40, both sexes (deaths under age 40 per 1,000 live births)","Male Mortality before Age 40 (deaths under age 40 per 1,000 male live births)","Female Mortality before Age 40 (deaths under age 40 per 1,000 female live births)","Mortality before Age 60, both sexes (deaths under age 60 per 1,000 live births)","Male Mortality before Age 60 (deaths under age 60 per 1,000 male live births)","Female Mortality before Age 60 (deaths under age 60 per 1,000 female live births)","Mortality between Age 15 and 50, both sexes (deaths under age 50 per 1,000 alive at age 15)","Male Mortality between Age 15 and 50 (deaths under age 50 per 1,000 males alive at age 15)","Female Mortality between Age 15 and 50 (deaths under age 50 per 1,000 females alive at age 15)","Mortality between Age 15 and 60, both sexes (deaths under age 60 per 1,000 alive at age 15)","Male Mortality between Age 15 and 60 (deaths under age 60 per 1,000 males alive at age 15)","Female Mortality between Age 15 and 60 (deaths under age 60 per 1,000 females alive at age 15)",Net Number of Migrants (thousands),"Net Migration Rate (per 1,000 population)"
1733,Estimates,Burundi,,108,BDI,BI,108.0,Country/Area,910,1950.0,2229.322,2254.113,1079.773,1174.34,86.864,91.947,18.315,62.914,27.788,49.581,2.2,31.507,116.224,11.27,51.334,6.923,2.047,30.995,102.5,53.31,27.069,26.241,23.546,40.579,39.246,41.853,44.916,43.733,46,11.046,10.623,11.395,4.728,4.468,4.925,18.127,166.92,103.226,29.001,282.583,462.531,476.036,449.518,617.795,641.855,595.151,290.791,308.196,274.895,423.915,452.6,397.891,-13.343,-5.893
1805,Estimates,Comoros,,174,COM,KM,174.0,Country/Area,910,1950.0,159.959,161.814,80.516,81.299,86.95,99.037,20.055,2.89,17.888,3.71,2.293,30.229,7.14,0.997,44.197,5.686,1.515,29.447,103.2,4.25,2.145,2.105,26.309,36.549,36.236,36.846,41.737,41.627,41.829,10.844,10.632,11.033,4.842,4.663,5,1.33,192.759,6.175,2.096,317.112,526.301,523.417,529.25,679.668,687.529,672.24,357.544,357.695,357.554,490.86,500.651,481.726,0.823,5.095
2021,Estimates,Ethiopia,,231,ETH,ET,231.0,Country/Area,910,1950.0,17516.675,17709.951,8788.148,8921.803,17.71,98.502,16.907,381.054,21.518,386.553,2.183,31.752,874.711,95.055,49.395,7.35,1.976,31.378,105.5,493.657,262.876,230.781,27.877,36.353,34.25,38.545,43.269,41.678,44.82,10.557,9.964,11.016,4.484,4.111,4.748,174.062,199.431,757.833,290.367,334.647,519.969,544.434,494.028,671.254,704.826,636.469,320.623,345.548,294.869,459.559,498.1,422.283,5.493,0.31
2093,Estimates,Kenya,,404,KEN,KE,404.0,Country/Area,910,1950.0,5711.674,5774.05,2902.562,2871.488,9.943,101.082,15.968,118.456,20.552,124.752,2.161,32.075,285.133,55.035,49.471,7.329,2.12,29.58,102.1,166.677,91.762,74.915,28.919,38.902,37.602,40.463,44.33,43.371,45.572,10.997,10.756,11.338,4.885,4.732,5.082,48.349,162.191,252.721,91.146,304.073,488.631,504.615,471.236,637.963,659.883,609.769,303.292,320.926,281.988,435.004,459.053,402.984,6.298,1.093
2165,Estimates,Madagascar,,450,MDG,MG,450.0,Country/Area,910,1950.0,3906.025,3953.896,2032.822,1921.074,6.796,105.817,19.691,95.741,24.21,95.742,2.422,28.619,192.166,30.655,48.594,7.299,2.194,28.81,103.8,96.425,50.605,45.821,24.384,39.646,38.678,40.66,41.251,40.538,41.998,9.861,9.608,10.087,4.123,3.932,4.291,26.744,140.061,174.133,41.524,237.926,475.584,484.175,466.345,658.343,676.428,639.554,356.5,367.221,344.618,503.043,523.784,481.862,0,0
2237,Estimates,Malawi,,454,MWI,MW,454.0,Country/Area,910,1950.0,2925.058,2949.739,1414.6,1535.139,31.197,92.148,16.143,49.359,16.745,49.362,1.673,41.431,145.03,24.428,49.201,6.796,1.668,29.726,101.5,95.671,48.21,47.461,32.456,32.746,31.57,33.879,42.867,42.683,43.035,10.144,10.169,10.121,4.189,4.038,4.307,30.734,206.068,124.084,59.311,387.935,574.202,589.814,559.178,701.711,715.502,688.437,323.271,327.546,319.356,455.085,461.702,449.099,0,0
2309,Estimates,Mauritius,1,480,MUS,MU,480.0,Country/Area,910,1950.0,517.924,525.443,267.4,258.043,258.839,103.626,17.891,14.238,27.112,15.038,2.862,24.219,22.308,3.013,42.478,6.049,2.482,28.519,103.4,8.07,4.315,3.755,15.366,52.442,50.347,55.059,45.022,42.767,47.863,7.784,6.626,8.656,2.847,2.627,2.924,1.871,84.629,20.985,2.567,115.988,216.509,224.231,207.367,510.553,579.96,421.828,215.91,252.923,168.529,437.303,515.961,336.842,0.797,1.518
2453,Estimates,Mozambique,,508,MOZ,MZ,508.0,Country/Area,910,1950.0,5878.439,5920.215,2897.72,3022.495,7.528,95.872,19.123,116.851,19.685,83.552,1.411,49.125,276.983,29.987,46.662,5.988,1.67,29.583,102,160.132,80.415,79.718,26.977,37.259,36.075,38.404,43.886,43.205,44.466,10.669,10.584,10.725,4.734,4.611,4.813,57.032,204.399,237.304,91.281,329.407,507.179,522.427,492.129,655.544,674.301,638.116,306.406,319.695,294.669,443.149,461.899,427.393,-33.296,-5.609
2597,Estimates,Rwanda,,646,RWA,RW,646.0,Country/Area,910,1950.0,2117.998,2154.218,1059.006,1095.211,88.981,96.694,17.197,71.282,33.086,72.44,3.363,20.611,119.443,12.084,55.44,7.916,2.453,31.167,102.6,48.161,24.377,23.785,22.354,43.343,42.792,43.909,46.498,46.721,46.298,11.483,11.536,11.436,5.063,5.021,5.087,17.389,147.198,107.121,28.856,260.606,426.397,431.386,420.964,576.305,581.981,570.497,263.325,257.258,268.601,388.396,386.339,390.234,1.16,0.538
2669,Estimates,Seychelles,,690,SYC,SC,690.0,Country/Area,910,1950.0,38.038,38.106,19.32,18.785,83.383,102.848,26.113,0.138,3.618,0.136,0.357,...,1.244,0.15,32.627,4.84,1.932,28.849,103.5,1.106,0.666,0.44,29.009,50.879,48.863,53.876,43.964,41.374,47.719,8.768,7.546,10.632,3.382,2.829,4.024,0.102,84.609,1.17,0.133,116.122,254.538,266.056,242.169,544.728,605.224,468.596,281.667,332.658,222.676,468.759,542.073,376.386,0,0
2741,Estimates,Somalia,,706,SOM,SO,706.0,Country/Area,910,1950.0,2181.367,2213.052,1098.941,1114.11,3.528,98.639,18.528,62.183,28.085,63.369,2.864,24.202,111.738,7.912,50.466,7.248,2.175,31.332,104.4,49.555,25.833,23.721,22.381,41.404,40.01,42.816,44.295,43.118,45.45,10.882,10.441,11.217,4.679,4.394,4.854,16.409,152.08,100.353,26.148,257.605,451.103,465.43,436.298,615.401,640.238,589.898,301.898,319.381,284.073,437.779,466.28,409.232,1.191,0.538
