Index,Variant,"Region, subregion, country or area *",Notes,Location code,ISO3Code,ISO2 Alpha-code,SDMX code**,Type,Parent code,Year,"Total Population, as of 1 January (thousands)","Total Population, as of 1 July (thousands)","Male Population, as of 1 July (thousands)","Female Population, as of 1 July (thousands)","Population Density, as of 1 July (persons per square km)","Population Sex Ratio, as of 1 July (males per 100 females)","Median Age, as of 1 July (years)","Natural Change, Births minus Deaths (thousands)","Rate of Natural Change (per 1,000 population)",Population Change (thousands),Population Growth Rate (percentage),Population Annual Doubling Time (years),Births (thousands),Births by women aged 15 to 19 (thousands),"Crude Birth Rate (births per 1,000 population)",Total Fertility Rate (live births per woman),Net Reproduction Rate (surviving daughters per woman),Mean Age Childbearing (years),Sex Ratio at Birth (males per 100 female births),Total Deaths (thousands),Male Deaths (thousands),Female Deaths (thousands),"Crude Death Rate (deaths per 1,000 population)","Life Expectancy at Birth, both sexes (years)",Male Life Expectancy at Birth (years),Female Life Expectancy at Birth (years),"Life Expectancy at Age 15, both sexes (years)",Male Life Expectancy at Age 15 (years),Female Life Expectancy at Age 15 (years),"Life Expectancy at Age 65, both sexes (years)",Male Life Expectancy at Age 65 (years),Female Life Expectancy at Age 65 (years),"Life Expectancy at Age 80, both sexes (years)",Male Life Expectancy at Age 80 (years),Female Life Expectancy at Age 80 (years),"Infant Deaths, under age 1 (thousands)","Infant Mortality Rate (infant deaths per 1,000 live births)",Live Births Surviving to Age 1 (thousands),"Under-Five Deaths, under age 5 (thousands)","Under-Five Mortality (deaths under age 5 per 1,000 live births)","Mortality before Age 40, both sexes (deaths under age 40 per 1,000 live births)","Male Mortality before Age 40 (deaths under age 40 per 1,000 male live births)","Female Mortality before Age 40 (deaths under age 40 per 1,000 female live births)","Mortality before Age 60, both sexes (deaths under age 60 per 1,000 live births)","Male Mortality before Age 60 (deaths under age 60 per 1,000 male live births)","Female Mortality before Age 60 (deaths under age 60 per 1,000 female live births)","Mortality between Age 15 and 50, both sexes (deaths under age 50 per 1,000 alive at age 15)","Male Mortality between Age 15 and 50 (deaths under age 50 per 1,000 males alive at age 15)","Female Mortality between Age 15 and 50 (deaths under age 50 per 1,000 females alive at age 15)","Mortality between Age 15 and 60, both sexes (deaths under age 60 per 1,000 alive at age 15)","Male Mortality between Age 15 and 60 (deaths under age 60 per 1,000 males alive at age 15)","Female Mortality between Age 15 and 60 (deaths under age 60 per 1,000 females alive at age 15)",Net Number of Migrants (thousands),"Net Migration Rate (per 1,000 population)"
1901,Medium,Burundi,,108,BDI,BI,108.0,Country/Area,910,2022.0,12715.87,12889.576,6400.926,6488.65,496.708,98.648,15.766,345.407,26.798,347.413,2.695,25.72,439.648,36.863,34.109,4.98,2.173,30.652,102.5,94.241,49.766,44.475,7.311,61.977,60.077,63.868,51.826,50.124,53.49,12.485,11.735,13.102,5.34,4.916,5.623,15.97,36.349,426.016,22.214,50.91,166.399,182.37,150.184,331.866,366.298,297.211,163.181,182.724,143.684,276.224,309.539,243.136,2,0.155
1980,Medium,Comoros,,174,COM,KM,174.0,Country/Area,910,2022.0,829.245,836.774,420.357,416.416,449.636,100.946,20.261,17.056,20.359,15.057,1.799,38.53,24.201,2.278,28.887,3.912,1.752,30.571,103.2,7.145,3.951,3.194,8.528,63.68,61.522,66.061,53.218,51.254,55.392,11.892,10.881,12.902,5.043,4.621,5.404,1.102,45.518,23.3,1.414,58.495,125.469,139.304,111.407,290.539,328.808,248.587,119.095,136.8,100.769,238.316,275.396,197.783,-2,-2.387
2217,Medium,Ethiopia,,231,ETH,ET,231.0,Country/Area,910,2022.0,121822.59,123379.924,61980.175,61399.749,123.38,100.945,18.647,3126.668,25.338,3114.669,2.525,27.451,3928.445,449.97,31.835,4.063,1.832,29.537,105.5,801.777,464.262,337.516,6.497,65.645,62.613,68.903,54.556,51.974,57.287,13.23,12.208,14.205,5.6,5.083,6.03,125.119,31.889,3819.98,169.472,43.724,125.427,153.693,95.49,265.953,318.315,210.908,123.195,154.357,90.956,220.092,268.213,170.578,-11.999,-0.097
2296,Medium,Kenya,,404,KEN,KE,404.0,Country/Area,910,2022.0,53499.879,54027.487,26777.549,27249.938,93.034,98.266,19.382,1065.212,19.71,1055.216,1.953,35.491,1488.394,193.338,27.54,3.296,1.501,28.454,102.2,423.182,229.463,193.719,7.83,62.055,59.579,64.686,49.971,47.513,52.578,13.247,11.964,14.358,6.776,5.912,7.308,41.515,27.971,1451.833,56.764,38.593,145.86,160.757,130.809,386.174,436.775,332.531,206.505,236.993,174.715,356.201,407.928,301.538,-10,-0.185
2375,Medium,Madagascar,,450,MDG,MG,450.0,Country/Area,910,2022.0,29260.083,29611.714,14836.218,14775.496,50.897,100.411,19.125,704.757,23.796,703.262,2.375,29.185,906.13,185.478,30.595,3.791,1.714,27.945,103.9,201.373,111.923,89.451,6.799,65.23,62.97,67.617,54.27,52.344,56.284,13.107,12.288,13.887,5.577,5.14,5.945,29.471,32.585,880.625,40.137,44.852,127.973,147.786,107.427,273.228,311.952,232.73,125.218,146.971,102.933,225.952,261.605,189.181,-1.5,-0.051
2454,Medium,Malawi,,454,MWI,MW,454.0,Country/Area,910,2022.0,20146.243,20405.317,9924.861,10480.456,215.811,94.699,16.983,524.146,25.677,518.147,2.539,27.3,665.678,144.336,32.611,3.849,1.777,27.917,101.4,141.532,76.592,64.941,6.934,62.898,59.58,66.326,50.814,47.51,54.213,12.646,10.869,14.221,6.234,4.982,7.017,18.275,27.51,649.567,25.062,38.158,130.19,152.081,110.198,355.492,423.184,289.046,180.872,222.274,139.884,324.476,393.686,256.969,-6,-0.294
2533,Medium,Mauritius,1,480,MUS,MU,480.0,Country/Area,910,2022.0,1299.134,1299.469,640.751,658.717,640.133,97.273,37.142,0.675,0.52,0.67,0.052,...,13.266,1.104,10.21,1.393,0.669,28.887,103.5,12.591,6.874,5.717,9.69,73.975,70.963,77.128,60.261,57.315,63.336,16.3,14.784,17.638,7.626,6.956,8.068,0.178,13.391,13.11,0.211,15.828,45.564,57.555,33.133,160.314,205.926,112.175,67.532,90.137,43.899,145.437,190.48,98.032,0,0
2691,Medium,Mozambique,,508,MOZ,MZ,508.0,Country/Area,910,2022.0,32518.418,32969.518,16176.217,16793.302,41.926,96.325,16.903,907.197,27.51,902.201,2.737,25.325,1191.147,296.515,36.121,4.561,2.024,28.12,102,283.95,153.802,130.147,8.611,59.625,56.529,62.688,49.715,46.742,52.61,10.966,9.908,11.734,4.532,4.138,4.815,62.78,52.807,1141.329,81.963,69.627,166.137,192.669,139.517,379.546,449.933,309.048,179.992,224.634,136.091,324.724,397.263,253.029,-5,-0.152
2849,Medium,Rwanda,,646,RWA,RW,646.0,Country/Area,910,2022.0,13618.383,13776.698,6741.039,7035.658,569.05,95.812,19.192,325.632,23.627,316.629,2.298,30.163,406.214,24.746,29.474,3.749,1.731,30.675,102.6,80.582,41.623,38.959,5.847,67.129,64.813,69.244,55.196,53.024,57.135,13.703,12.766,14.384,6.114,5.794,6.296,11.488,28.295,396.133,15.342,38.036,100.527,115.033,86.102,256.575,299.275,217.398,116.035,138.908,94.652,221.503,263.376,183.685,-8.999,-0.653
2928,Medium,Seychelles,,690,SYC,SC,690.0,Country/Area,910,2022.0,106.887,107.118,56.395,50.724,234.395,111.181,32.798,0.662,6.181,0.463,0.432,...,1.611,0.18,15.031,2.313,1.11,27.764,103.6,0.949,0.553,0.396,8.85,71.738,68.237,76.042,57.885,54.401,62.173,14.593,12.329,16.936,6.651,5.196,7.487,0.018,11.413,1.595,0.022,13.447,53.852,64.611,40.408,184.104,235.339,123.047,82.832,107.389,52.124,170.678,221.889,109.645,-0.2,-1.865
