ISO3Code,Group,Births,MNCH_ANC4,MNCH_SAB
AFG,Off-track,1446699.0,20.9,
AIA,On-track,150.0,,100.0
ALB,On-track,28795.0,77.8,
ARE,On-track,93343.0,,99.2
ARG,On-track,627741.0,90.4,
ATG,On-track,1124.0,,99.0
AUS,On-track,300246.0,,98.7
AUT,On-track,84394.0,,98.4
AZE,On-track,123673.0,,99.4
BDI,Off-track,439648.0,,86.2
BEN,Off-track,481715.0,52.1,
BFA,Off-track,793031.0,72.1,
BGD,Off-track,2994966.0,47.0,
BGR,On-track,56663.0,,93.0
BHR,On-track,16861.0,,99.6
BHS,On-track,4659.0,,99.0
BIH,On-track,26764.0,,99.9
BLR,On-track,87252.0,99.9,
BLZ,On-track,7193.0,,94.8
BOL,On-track,264070.0,,83.1
BRA,On-track,2723266.0,92.3,
BRB,On-track,3037.0,,99.0
BRN,On-track,6058.0,,99.8
BTN,On-track,9648.0,,96.2
BWA,Off-track,60554.0,,99.8
CAF,Off-track,236643.0,41.4,
CAN,On-track,376188.0,,98.0
CHL,On-track,230824.0,,99.8
CHN,On-track,10757794.0,92.9,
CIV,Off-track,943133.0,56.3,
CMR,Off-track,959096.0,64.9,
COD,Off-track,4133987.0,42.9,
COL,On-track,723264.0,,98.4
COM,Off-track,24201.0,64.3,
CPV,On-track,9908.0,85.6,
CRI,On-track,60517.0,94.1,
CUB,On-track,99693.0,79.3,
CYP,On-track,12517.0,,99.9
DEU,On-track,761194.0,,96.2
DMA,Off-track,966.0,,100.0
DNK,On-track,64107.0,,95.3
DOM,Off-track,203625.0,92.6,
DZA,On-track,923648.0,69.8,
ECU,On-track,298666.0,,96.0
EGY,On-track,2453941.0,89.9,
ESP,On-track,356359.0,,99.9
EST,On-track,13422.0,,99.6
ETH,Off-track,3928445.0,43.0,
FIN,On-track,47136.0,,99.6
FJI,Off-track,17821.0,88.7,
FRA,On-track,672880.0,,98.1
GAB,Off-track,64022.00000000001,77.8,
GEO,On-track,49106.0,81.1,
GHA,Off-track,906677.0,85.0,
GIN,Off-track,469311.0,35.3,
GMB,Off-track,88535.0,75.6,
GNB,Off-track,64479.0,80.7,
GRC,On-track,77141.0,,99.9
GRD,On-track,1960.0,,100.0
GUY,Off-track,16129.000000000002,84.7,
HND,On-track,217590.0,88.3,
HRV,On-track,33924.0,97.8,
IDN,On-track,4462212.0,,93.6
IND,Off-track,23056027.0,58.4,
IRL,On-track,57561.0,,99.7
IRQ,On-track,1203188.0,67.9,
ISL,On-track,4568.0,,98.2
ITA,On-track,407303.0,,99.9
JAM,On-track,32662.999999999996,,99.7
JOR,On-track,245484.0,91.5,
JPN,On-track,814705.0,,99.9
KAZ,On-track,402511.0,,99.9
KEN,Off-track,1488394.0,58.5,
KGZ,On-track,154761.0,94.3,
KHM,On-track,318335.0,86.0,
KIR,Off-track,3512.0,67.0,
KNA,On-track,563.0,,100.0
KOR,On-track,285686.0,,100.0
KWT,On-track,41456.0,,99.9
LBR,Off-track,164452.0,87.3,
LCA,On-track,2035.0000000000002,,100.0
LSO,Off-track,59490.0,76.6,
LTU,On-track,26206.0,,100.0
LVA,On-track,16531.0,,97.9
MAR,On-track,643109.0,53.5,
MDA,On-track,36943.0,,99.7
MDG,Off-track,906130.0,50.6,
MEX,On-track,1866399.0,,92.1
MKD,On-track,19992.0,95.7,
MLI,Off-track,932317.0,43.3,
MLT,On-track,4857.0,,99.7
MNE,On-track,6859.0,94.2,
MNG,On-track,69481.0,88.5,
MOZ,Off-track,1191147.0,51.0,
MRT,Off-track,156047.0,38.5,
MSR,On-track,40.0,,100.0
MUS,On-track,13266.0,,99.8
MWI,Off-track,665678.0,50.5,
MYS,On-track,509232.0,98.1,
NER,Off-track,1180654.0,37.3,
NGA,Off-track,8002758.0,56.8,
NOR,On-track,53988.0,,99.2
NPL,Off-track,616657.0,77.8,
NZL,On-track,64102.99999999999,,96.4
OMN,On-track,81043.0,76.4,
PAK,Off-track,6424944.0,51.4,
PAN,On-track,76637.0,,92.9
PER,On-track,592156.0,96.3,
PHL,Off-track,2499081.0,83.0,
PLW,On-track,270.0,,100.0
PNG,Off-track,254718.0,49.0,
POL,On-track,353840.0,,99.8
PRT,On-track,80033.0,,99.9
PRY,On-track,137960.0,85.9,
PSE,On-track,145449.0,94.8,
QAT,On-track,24497.0,,100.0
ROU,On-track,191763.0,70.1,
RUS,On-track,1375808.0,,99.7
RWA,Off-track,406214.0,47.2,
SAU,On-track,615690.0,79.7,
SEN,Off-track,555696.0,58.5,
SGP,On-track,42333.0,,99.6
SLE,Off-track,265023.0,78.8,
SLV,On-track,100313.0,,99.9
SOM,Off-track,759044.0,24.4,
SRB,On-track,66557.0,96.6,
SSD,Off-track,315390.0,31.1,
STP,On-track,6370.0,,96.8
SUR,On-track,11123.0,67.5,
SVK,On-track,53357.0,,98.0
SWZ,Off-track,28476.0,73.5,
SYC,On-track,1611.0,,98.8
TCA,On-track,560.0,93.2,
TCD,Off-track,765648.0,,47.2
THA,On-track,631239.0,90.0,
TKM,Off-track,133491.0,97.6,
TLS,Off-track,33074.0,83.1,
TON,On-track,2456.0,88.5,
TUN,On-track,192759.0,84.1,
TUR,On-track,1236900.0,89.7,
TUV,On-track,265.0,60.3,
TZA,Off-track,2346821.0,65.1,
UGA,Off-track,1713605.0,56.7,
URY,On-track,35668.0,96.8,
USA,On-track,3726867.0,,99.1
UZB,On-track,776815.0,89.5,
VCT,On-track,1324.0,,99.5
VEN,On-track,438384.0,,98.7
VNM,On-track,1442809.0,88.2,
WSM,On-track,6024.0,69.8,
ZMB,Off-track,683355.0,63.5,
ZWE,Off-track,491195.0,71.5,
